Filename: amitag_21July2020_o4_02_1.fcs
Event #	143Nd_p53_Human_(Nd143Di)	144Nd_MHC_ClassI_(Nd144Di)	147Sm_p-Histone_H2A.x_(Sm147Di)	149Sm_p-p65_(Sm149Di)	150Nd_pRb_(Nd150Di)	153Eu_PL_(Eu153Di)	156Gd_p38_(Gd156Di)	159Tb_p21_(Tb159Di)	163Dy_CD54_(Dy163Di)	168Er_Ki-67_(Er168Di)	169Tm_p-16_(Tm169Di)	176Yb_BCL-xl_(Yb176Di)	209Bi_MHCII_(Bi209Di)
1	1.9730931520462036	235.08229064941406	5.799467086791992	17.9243106842041	1317.6820068359375	54.208396911621094	15.902488708496094	5.20440673828125	194.90902709960938	0.0	9.258368492126465	92.0446548461914	5451.11767578125
2	0.0	116.23757934570312	3.0711629390716553	0.0	35.58200454711914	5.947757244110107	1.742832899093628	6.399625778198242	243.23251342773438	3.584033966064453	8.166993141174316	54.2992057800293	476.15899658203125
3	0.0	59.24142837524414	2.4347455501556396	1.8034954071044922	379.43035888671875	11.024466514587402	0.9001192450523376	0.0	69.017333984375	1.64915132522583	3.050354242324829	17.062572479248047	919.081298828125
4	2.1511080265045166	35.002201080322266	2.7641587257385254	5.338567733764648	735.371337890625	0.0	6.719895362854004	4.740197658538818	262.2481994628906	0.0	11.513092041015625	60.48622131347656	381.7580871582031
5	0.0	189.28172302246094	0.02913179062306881	1.0544363260269165	587.2416381835938	32.1341667175293	2.2698159217834473	1.3244317770004272	107.25298309326172	0.0	12.573060035705566	37.03550720214844	4170.22216796875
6	0.6259230375289917	18.663122177124023	9.923856735229492	0.0	498.39984130859375	2.0896337032318115	4.430561542510986	0.17706947028636932	27.50102424621582	0.0	2.1382577419281006	1.651646375656128	30.96837043762207
7	10.598197937011719	76.8087387084961	3.896937131881714	0.0	251.80831909179688	0.0	9.651022911071777	1.194022536277771	105.98712158203125	3.7275516986846924	7.4485697746276855	16.68828773498535	1798.99853515625
8	3.6142749786376953	215.20919799804688	84.19535827636719	6.0223469734191895	1225.1043701171875	78.81108093261719	25.97372055053711	16.05589485168457	34.43427658081055	2.4489376544952393	0.7275834083557129	243.2462158203125	444.6911315917969
9	3.0733394622802734	26.12837028503418	6.271178245544434	9.119269371032715	806.6826782226562	0.9216383695602417	14.963334083557129	2.242082357406616	343.176513671875	0.0	1.9354243278503418	12.837554931640625	94.00931549072266
10	0.0	232.15554809570312	8.982675552368164	0.9249829053878784	502.7997741699219	13.8927640914917	8.257216453552246	1.548161506652832	133.31919860839844	0.0	4.141729354858398	32.84112548828125	3987.292724609375
11	0.0	91.65362548828125	12.528910636901855	2.8424415588378906	289.0977478027344	4.902940273284912	3.6590306758880615	4.146775722503662	27.068561553955078	0.0	0.8806900382041931	18.768829345703125	935.7536010742188
12	10.961118698120117	301.0298767089844	10.191644668579102	7.5160393714904785	739.0731201171875	6.233706951141357	19.290565490722656	2.0267276763916016	156.29638671875	0.6667059659957886	10.32226276397705	76.92942810058594	5154.34619140625
13	1.8502055406570435	107.65367889404297	7.573144912719727	1.3255138397216797	350.125	2.1688196659088135	2.506326913833618	4.344184398651123	130.35122680664062	1.8265917301177979	8.613226890563965	25.87490463256836	2512.356689453125
14	0.0	118.76822662353516	0.96583092212677	3.2905492782592773	329.48095703125	19.82952308654785	5.2836079597473145	1.9728889465332031	351.14996337890625	0.0	1.0900665521621704	5.249305248260498	3950.4716796875
15	0.8452832102775574	172.89584350585938	12.984935760498047	1.748173475265503	631.879638671875	34.09292221069336	1.4948408603668213	0.12323078513145447	196.70443725585938	0.1213378757238388	2.8632240295410156	42.62845993041992	5534.11572265625
16	0.0	114.26396942138672	3.2840492725372314	12.660980224609375	135.16192626953125	68.49378967285156	3.7669529914855957	1.3280210494995117	127.37694549560547	0.21266746520996094	11.200335502624512	45.376319885253906	2855.90576171875
17	0.0	88.94147491455078	8.327210426330566	2.830270767211914	388.8216857910156	19.267520904541016	1.3662524223327637	4.218560695648193	203.67300415039062	5.282763957977295	6.768096446990967	20.80674934387207	2635.42822265625
18	10.456934928894043	26.983335494995117	1.7669551372528076	1.1086517572402954	74.7921371459961	2.0434417724609375	0.5648707151412964	0.0	184.88803100585938	0.0	5.5825018882751465	29.373998641967773	306.1406555175781
19	5.506974220275879	154.75323486328125	1.3994463682174683	1.8920105695724487	473.5812683105469	24.181459426879883	8.601649284362793	14.536446571350098	124.78091430664062	0.0	4.963532447814941	47.47950744628906	1510.3160400390625
20	3.7509443759918213	307.2566223144531	0.0	4.117059230804443	532.1798706054688	11.88011646270752	7.587867259979248	11.208019256591797	765.9234619140625	0.4905703365802765	10.764571189880371	101.45237731933594	7881.4033203125
21	2.6013131141662598	37.585357666015625	0.0	0.2412036806344986	35.698543548583984	16.21445655822754	0.0	3.4468727111816406	29.90540885925293	0.0	4.493743896484375	11.565520286560059	638.1961669921875
22	8.336835861206055	177.29737854003906	43.65174865722656	7.667621612548828	521.3977661132812	23.246623992919922	1.8817543983459473	5.181674957275391	104.6846923828125	0.0	12.701303482055664	55.5818977355957	4386.64111328125
23	3.6154234409332275	226.90931701660156	5.8722968101501465	1.0599684715270996	456.25091552734375	36.447608947753906	2.5889909267425537	8.947990417480469	148.32675170898438	0.0	6.498524188995361	53.137725830078125	3864.34912109375
24	1.0968009233474731	187.99757385253906	70.0888442993164	4.163529396057129	606.7389526367188	48.14845657348633	3.667067289352417	1.634303331375122	4.11531925201416	0.02739887498319149	6.718369483947754	62.969017028808594	758.43603515625
25	4.007055759429932	98.270751953125	8.895279884338379	5.184772968292236	666.968017578125	5.569423675537109	14.819820404052734	15.011423110961914	421.79248046875	0.9354758858680725	6.897647857666016	146.84068298339844	1020.291259765625
26	1.6113210916519165	112.22757720947266	0.47731319069862366	1.966141939163208	375.4504089355469	19.609561920166016	7.537350654602051	1.4392876625061035	97.92921447753906	0.0	2.584491491317749	33.15946578979492	2269.788330078125
27	0.11484826356172562	54.73716735839844	3.438671827316284	2.976320743560791	445.3632507324219	10.235905647277832	0.17451290786266327	5.2307281494140625	165.20787048339844	2.1253700256347656	0.013086033053696156	35.94195556640625	3238.197998046875
28	2.016735553741455	75.84418487548828	7.342331886291504	6.0666046142578125	536.2587890625	22.461360931396484	5.929994583129883	7.11268949508667	157.35043334960938	3.2969980239868164	13.080798149108887	79.48681640625	1429.6971435546875
29	4.242495059967041	88.99398803710938	4.385455131530762	3.63686466217041	522.9589233398438	1.1734942197799683	5.15272331237793	5.54299259185791	100.02848052978516	2.2832396030426025	8.816060066223145	65.82610321044922	961.8695678710938
30	1.2977854013442993	134.8196563720703	0.4851563572883606	5.472446918487549	499.1100769042969	11.335712432861328	5.679706573486328	0.3170500695705414	80.7606201171875	2.9199373722076416	1.9733737707138062	29.239469528198242	3478.027587890625
31	0.0	33.811641693115234	3.222424268722534	1.6707227230072021	324.9700012207031	19.502880096435547	10.613140106201172	1.8281227350234985	80.63579559326172	0.22440983355045319	13.59507942199707	26.114660263061523	343.0709228515625
32	0.6626744866371155	49.94753646850586	0.0	3.680015802383423	377.5657043457031	5.284573554992676	3.8989858627319336	0.0	3.970324754714966	0.0	3.719050645828247	2.4241907596588135	241.23228454589844
33	0.3479902446269989	51.607242584228516	17.340137481689453	1.4649251699447632	512.4758911132812	1.9411596059799194	0.00803677923977375	2.6835596561431885	114.9477767944336	0.0	6.363738059997559	22.097431182861328	1031.4931640625
34	5.2742815017700195	283.8411560058594	57.88225173950195	10.18832015991211	755.5330810546875	94.05277252197266	9.42628288269043	14.229229927062988	103.12283325195312	0.7513309717178345	5.138860702514648	153.02854919433594	559.525146484375
35	0.0	36.00340270996094	9.898001670837402	0.0	369.2771911621094	5.162905693054199	1.4871617555618286	3.794461488723755	10.372544288635254	0.33649352192878723	8.587510108947754	21.00901222229004	542.564453125
36	8.187508583068848	359.2416687011719	22.03341293334961	9.323762893676758	1326.989013671875	11.186113357543945	36.870452880859375	4.817687034606934	223.93414306640625	4.265247821807861	12.688815116882324	147.68690490722656	1176.3232421875
37	12.680500030517578	46.54542541503906	1.1270830631256104	7.541717052459717	524.9943237304688	6.934887886047363	2.7921292781829834	4.139089584350586	181.5164031982422	0.0	3.256843090057373	41.60823059082031	669.7030029296875
38	0.0	205.23931884765625	40.05669021606445	8.758051872253418	830.6482543945312	67.51458740234375	22.627405166625977	0.7472862601280212	39.862892150878906	1.1610311269760132	0.9847766757011414	74.3106689453125	514.5602416992188
39	0.0	121.501953125	0.35409846901893616	2.7237958908081055	72.52185821533203	13.362558364868164	5.709517002105713	0.5341142416000366	63.35456848144531	0.6408788561820984	1.6773384809494019	20.09676742553711	1385.101806640625
40	11.764030456542969	277.9200744628906	40.5124397277832	2.29923677444458	568.4802856445312	65.76228332519531	1.7205983400344849	4.726496696472168	9.524662017822266	0.0	10.254549980163574	17.320884704589844	530.5081787109375
41	2.4618659019470215	27.237356185913086	7.761123180389404	0.5998967885971069	84.83872985839844	0.7138211727142334	8.656511306762695	9.17468547821045	307.3054504394531	1.0133335590362549	4.26865291595459	80.99784088134766	1369.573974609375
42	2.889169692993164	38.46017074584961	6.007386684417725	8.250785827636719	341.25579833984375	2.806093454360962	2.859313488006592	2.618462562561035	54.40387725830078	2.8666164875030518	4.7372260093688965	41.931888580322266	296.89813232421875
43	0.7732710242271423	74.8768310546875	0.06925585120916367	1.7026481628417969	397.4081115722656	19.8776798248291	5.035397529602051	3.9365761280059814	128.0662384033203	2.957803726196289	12.957858085632324	60.5526237487793	450.7110290527344
44	0.6678770780563354	358.0337829589844	0.32840678095817566	1.8217452764511108	419.7706604003906	35.774139404296875	0.10248435288667679	2.038161039352417	194.9368438720703	0.0	0.0	33.97357177734375	8859.908203125
45	1.9612444639205933	54.29597854614258	5.171848297119141	0.12791916728019714	210.98751831054688	2.3338563442230225	0.0	3.2840328216552734	59.38035583496094	0.0	0.0	5.500868797302246	1514.919677734375
46	2.164013385772705	154.72299194335938	5.995099067687988	0.6351848244667053	513.7610473632812	9.997869491577148	1.0840567350387573	4.478980541229248	48.30809020996094	0.0	2.9272968769073486	19.318946838378906	3443.165283203125
47	3.567357063293457	262.1935729980469	7.939847946166992	3.991960048675537	803.1812133789062	16.908708572387695	18.766023635864258	12.071455955505371	595.684814453125	0.5291424989700317	0.7968323230743408	78.75965118408203	2314.730224609375
48	9.327366828918457	48.840538024902344	16.347732543945312	0.0	725.9405517578125	3.031280517578125	5.661691188812256	1.6923487186431885	24.516357421875	0.0	1.857559084892273	61.33435821533203	8.920150756835938
49	1.6588096618652344	156.06407165527344	15.644002914428711	25.12729263305664	1233.9935302734375	31.12828826904297	49.52954864501953	24.129884719848633	640.7296142578125	4.392396450042725	20.918458938598633	163.4586639404297	2121.4404296875
50	4.393325328826904	199.76907348632812	5.4935526847839355	4.289702892303467	890.13232421875	28.104660034179688	14.292012214660645	0.38844671845436096	188.08905029296875	1.0184708833694458	4.602060794830322	28.698482513427734	3731.80224609375
51	2.011650323867798	75.46085357666016	1.3158611059188843	7.404975891113281	695.4223022460938	1.0231801271438599	9.418312072753906	10.235808372497559	212.3800506591797	0.0	8.673758506774902	76.4705581665039	692.4334106445312
52	2.2785720825195312	215.80979919433594	8.661449432373047	7.510839939117432	751.4891357421875	21.643102645874023	12.7604398727417	5.059281826019287	230.94505310058594	1.1456191539764404	14.718871116638184	71.71488189697266	1292.518798828125
53	2.4057321548461914	130.71768188476562	1.2622437477111816	2.9983811378479004	359.05511474609375	4.468760967254639	1.531571626663208	3.960261821746826	66.58921813964844	0.0	1.605250358581543	10.086883544921875	1104.2259521484375
54	0.8374239206314087	41.54195022583008	3.1544923782348633	1.6960316896438599	404.466064453125	0.0	1.8401634693145752	0.7271533608436584	413.4388122558594	5.205374717712402	2.5423972606658936	11.82784652709961	619.3025512695312
55	0.0	47.91042709350586	0.0	0.0	1.482363224029541	8.183255195617676	0.0	0.0	47.59467697143555	0.0	0.0	0.0	174.32337951660156
56	3.3267838954925537	141.62857055664062	9.38193416595459	4.406594753265381	495.86529541015625	25.142248153686523	9.201955795288086	8.143170356750488	102.12429809570312	8.884969711303711	16.756650924682617	100.52298736572266	1516.0889892578125
57	0.0	47.1351432800293	0.0	0.0	0.0	9.530004501342773	1.0521726608276367	0.0	48.09518814086914	0.0	0.0	0.02218618430197239	339.2672119140625
58	7.602113723754883	276.7611389160156	30.633426666259766	3.175924062728882	1259.6636962890625	26.479158401489258	8.926386833190918	11.05296802520752	19.82001304626465	1.2599241733551025	0.6681033968925476	102.1856460571289	544.7426147460938
59	6.463400363922119	319.0567626953125	47.107383728027344	13.896873474121094	1174.6956787109375	113.06031036376953	14.617684364318848	12.753605842590332	42.240943908691406	2.256561517715454	21.16175651550293	264.4736633300781	93.20416259765625
60	0.0	51.01155471801758	8.413468360900879	0.0	62.76652526855469	22.87835121154785	6.740054130554199	0.0	75.30833435058594	0.0	2.350590944290161	2.5957834720611572	79.81675720214844
61	3.427595615386963	126.93234252929688	77.28729248046875	0.2878181040287018	386.2657470703125	14.193345069885254	2.43571138381958	3.5658936500549316	11.673624992370605	3.7129876613616943	1.713382601737976	15.074859619140625	303.08416748046875
62	6.587123870849609	766.7739868164062	16.547679901123047	10.709921836853027	1590.9154052734375	62.22815704345703	24.89572525024414	47.54446029663086	472.5838623046875	0.0	16.270055770874023	248.19293212890625	678.3895874023438
63	0.0	48.467124938964844	11.260777473449707	3.242089033126831	556.7342529296875	7.466154098510742	0.0	0.0	107.71583557128906	2.4774656295776367	3.76532244682312	31.55136489868164	213.85263061523438
64	9.373190879821777	283.5918273925781	148.59959411621094	4.149653434753418	815.9363403320312	25.746753692626953	2.023496627807617	0.7839992046356201	18.642192840576172	0.0	2.08540940284729	11.974014282226562	828.72705078125
65	1.5705994367599487	556.0564575195312	22.27134132385254	4.054816722869873	989.799072265625	110.78111267089844	17.356294631958008	11.819202423095703	486.59197998046875	1.3639546632766724	14.046905517578125	37.16707992553711	1901.4095458984375
66	2.096423625946045	95.43377685546875	2.422837734222412	2.024651527404785	57.38816452026367	12.411524772644043	0.42815685272216797	6.313443660736084	572.6675415039062	3.357229232788086	12.82269287109375	58.303985595703125	437.43194580078125
67	0.0	259.05145263671875	2.3524649143218994	9.753835678100586	168.32876586914062	14.571572303771973	0.0	5.20258092880249	176.7055206298828	0.0	4.778419494628906	11.778253555297852	4330.71044921875
68	0.05040581524372101	234.61012268066406	76.44058990478516	5.500524044036865	1148.213623046875	83.89859008789062	3.535710096359253	7.783145904541016	8.462631225585938	0.0	0.0	121.63771057128906	446.4565124511719
69	0.0	78.90921020507812	9.044590950012207	1.3861584663391113	492.5751953125	2.0736887454986572	0.3951341211795807	1.3382463455200195	79.91004943847656	2.7625861167907715	0.6436448693275452	52.88142395019531	501.23028564453125
70	0.7056814432144165	153.5526580810547	4.817749500274658	7.0708417892456055	737.328369140625	16.467079162597656	5.246059894561768	0.0	161.9491424560547	0.0	9.794987678527832	55.7068977355957	768.3884887695312
71	2.9934182167053223	1747.1048583984375	13.58531665802002	3.8243417739868164	492.01971435546875	520.6205444335938	0.749274492263794	2.1092183589935303	1250.87451171875	0.0	4.434713363647461	124.8755874633789	3948.42431640625
