Filename: Ep_y1_amitag_13Dec2020_04_1_concatenated_Live.fcs
Event #	143Nd_p53_(Nd143Di)	144Nd_MHCI_(Nd144Di)	147Sm_pH2AX_(Sm147Di)	149Sm_pp65_(Sm149Di)	150Nd_pRB_(Nd150Di)	153Eu_PL1_(Eu153Di)	156Gd_p38_(Gd156Di)	159Tb_p21_(Tb159Di)	163Dy_CD54_(Dy163Di)	164Dy_SCA1_(Dy164Di)	168Er_Ki67_(Er168Di)	169Tm_p16_(Tm169Di)	209Bi_MHCII_(Bi209Di)
1	5.761796951293945	42.84427261352539	4.521830081939697	0.0	387.1487731933594	0.0	4.372489929199219	0.0	50.273624420166016	29.947948455810547	7.909316062927246	0.0	185.54957580566406
2	1.547881007194519	36.04822540283203	14.33059024810791	0.0	267.0463562011719	0.0	6.094236850738525	12.533166885375977	147.18853759765625	5.623137950897217	47.71492385864258	7.272992134094238	262.90496826171875
3	0.0	6.039827823638916	0.22670699656009674	4.9460577964782715	173.0271759033203	0.0	0.0	0.0	10.73787784576416	37.65150451660156	5.009209156036377	12.504347801208496	0.0
4	1.3716050386428833	14.961100578308105	17.95962905883789	8.383689880371094	510.677490234375	0.0	12.719902992248535	2.1177120208740234	158.5293731689453	5.415349006652832	51.42369842529297	2.3058760166168213	545.1328735351562
5	0.0	139.47731018066406	5.218031883239746	0.0	634.3910522460938	2.004420042037964	10.992585182189941	0.0	43.17304611206055	25.137239456176758	43.86412811279297	2.1552538871765137	932.910888671875
6	3.3908629417419434	51.45476150512695	2.322772979736328	0.0	165.3189239501953	0.0	0.055091001093387604	0.0	190.5065155029297	33.783302307128906	35.409942626953125	10.196127891540527	1324.2396240234375
7	8.587259292602539	90.98204040527344	6.61288595199585	2.2287039756774902	61.56452941894531	10.017993927001953	4.45672082901001	7.501942157745361	487.93682861328125	94.84032440185547	37.26365661621094	13.24452018737793	550.139404296875
8	0.0	10.114155769348145	1.7302680015563965	0.0	246.09213256835938	0.0	3.8522109985351562	1.1189279556274414	90.38157653808594	4.036623954772949	32.862125396728516	0.48406699299812317	95.32610321044922
9	0.0	12.199493408203125	3.0723040103912354	2.1416289806365967	269.88043212890625	0.0	0.0	2.0763320922851562	41.55754470825195	5.016695022583008	20.215906143188477	2.911202907562256	63.02223205566406
10	0.0	35.688045501708984	2.245784044265747	0.0	73.84668731689453	0.1587740033864975	1.0803159475326538	5.972798824310303	81.68756866455078	4.065462112426758	23.559581756591797	1.682908058166504	122.88773345947266
11	7.294655799865723	142.9520721435547	9.619433403015137	0.0	375.5706481933594	2.2362060546875	2.566970109939575	1.6139479875564575	203.43382263183594	224.73956298828125	13.814502716064453	8.783849716186523	557.3629760742188
12	5.5152587890625	124.516357421875	16.401596069335938	0.0	846.6442260742188	3.7998299598693848	0.46761900186538696	10.803767204284668	74.56521606445312	552.659912109375	38.607093811035156	3.5826311111450195	0.0
13	0.0	16.511762619018555	7.73101282119751	0.0	340.6502990722656	0.0	0.0	3.503567934036255	35.73717498779297	44.62696075439453	34.77570343017578	0.9785339832305908	26.701765060424805
14	1.4280439615249634	32.74239730834961	0.0	0.0	196.9221954345703	0.5958070158958435	4.5077738761901855	0.0	315.9951477050781	60.59312057495117	39.878379821777344	5.171022891998291	217.13397216796875
15	8.660147666931152	41.10409164428711	83.4334945678711	0.0	506.7508544921875	3.168735980987549	8.958491325378418	0.0	121.31336975097656	176.14434814453125	4.0396552085876465	1.302528977394104	7.275207042694092
16	0.3001669943332672	84.83786010742188	34.03802490234375	0.0	263.7151184082031	1.9821020364761353	0.40795499086380005	0.0	48.818443298339844	5.283924102783203	3.770056962966919	0.0	1102.111328125
17	5.505849838256836	22.187456130981445	0.0	2.6239778995513916	225.4703826904297	0.0	4.79921817779541	0.0	63.93111038208008	14.033206939697266	47.00935363769531	3.2364330291748047	179.39405822753906
18	1.9130220413208008	79.61420440673828	3.646610975265503	0.0	134.3595733642578	4.016506195068359	0.0	0.0	79.2432861328125	98.94268798828125	1.4795589447021484	0.0	568.4547729492188
19	0.0	7.180793762207031	0.0	0.14213399589061737	138.25831604003906	1.1653679609298706	0.5700219869613647	1.0684360265731812	103.18922424316406	2.4793570041656494	26.558643341064453	0.0	265.2354736328125
20	0.0	4.8841657638549805	4.301412105560303	0.0	296.1981201171875	0.0	2.036358118057251	0.0	129.04945373535156	14.627874374389648	33.606903076171875	1.0524070262908936	404.17242431640625
21	0.0	51.21845245361328	48.659751892089844	2.943988084793091	226.9137420654297	0.2903650104999542	0.0	0.0	246.49317932128906	4.611639976501465	19.887718200683594	4.6287617683410645	590.6103515625
22	0.0	4.027952194213867	2.2713348865509033	0.0	222.87110900878906	2.369364023208618	0.38583099842071533	0.0	126.127197265625	0.0765250027179718	11.427922248840332	2.519270896911621	199.4136199951172
23	8.718229293823242	41.545658111572266	11.6455717086792	0.0	195.10926818847656	1.1822949647903442	1.0382269620895386	1.132478952407837	457.5311584472656	98.74933624267578	36.67802810668945	0.0	323.80194091796875
24	3.2305500507354736	18.185728073120117	44.84727478027344	2.70536208152771	1013.2725830078125	0.0	10.318656921386719	4.211516857147217	22.71168327331543	56.17337417602539	33.01022720336914	4.4503607749938965	0.0
25	0.0	53.15005111694336	22.290021896362305	0.0	386.02557373046875	0.23368200659751892	0.0	4.391213893890381	277.51416015625	53.7694206237793	23.22296142578125	0.0	615.8426513671875
26	1.1637229919433594	121.0578384399414	9.94007396697998	2.7995619773864746	420.65118408203125	7.8667521476745605	6.827302932739258	7.170773029327393	319.9872131347656	54.90489196777344	43.15277099609375	13.201923370361328	371.7347717285156
27	0.7978540062904358	20.902511596679688	28.809356689453125	0.0	401.8432922363281	0.43583300709724426	1.3317689895629883	3.7327499389648438	173.73971557617188	0.8778010010719299	50.63367462158203	3.5504469871520996	136.64361572265625
28	1.5162240266799927	33.79826736450195	72.05284118652344	3.9219119548797607	633.6528930664062	11.016007423400879	4.702239036560059	1.3407609462738037	126.41634368896484	14.954541206359863	29.711483001708984	0.0	551.8207397460938
29	0.3480980098247528	127.9428482055664	13.301776885986328	0.7448570132255554	526.1115112304688	12.963254928588867	5.27363395690918	3.331433057785034	186.1217803955078	1310.21240234375	17.277101516723633	0.4105530083179474	0.0
30	3.0673859119415283	10.990320205688477	1.8174090385437012	0.0	161.05067443847656	1.612720012664795	0.5597720146179199	4.233013153076172	143.05267333984375	14.601468086242676	37.04917907714844	14.085405349731445	261.94708251953125
31	3.659404993057251	185.4206085205078	29.06957244873047	1.4525500535964966	1105.2374267578125	0.0	6.320979118347168	0.0	68.50880432128906	492.5373840332031	63.81508255004883	1.7465189695358276	0.0
32	0.0	12.55579662322998	4.167570114135742	0.0	340.5892333984375	0.0	1.1449259519577026	0.27170899510383606	55.09303665161133	6.849197864532471	28.87363624572754	4.779231071472168	76.1252212524414
33	3.1868479251861572	96.01911926269531	14.336670875549316	3.76951003074646	841.9223022460938	0.7194780111312866	0.7614910006523132	7.626999855041504	7.1269121170043945	358.9598388671875	18.824710845947266	0.0	0.0
34	2.038094997406006	1.6777700185775757	21.116249084472656	2.9198760986328125	434.00433349609375	3.4136409759521484	6.416555881500244	2.296104907989502	24.324289321899414	108.89524841308594	15.010810852050781	0.09541700035333633	0.0
35	0.0	10.299555778503418	0.6032249927520752	0.0	62.88103485107422	0.0	2.7415549755096436	0.2887110114097595	186.75303649902344	7.840330123901367	30.371627807617188	4.48770809173584	429.4616394042969
36	4.264088153839111	11.238433837890625	4.498794078826904	0.0	229.48870849609375	0.0	1.3248770236968994	0.0	86.32559204101562	0.0	31.32491111755371	4.2775559425354	185.89617919921875
37	1.7078189849853516	20.762529373168945	50.424583435058594	2.6786880493164062	470.364013671875	5.844593048095703	0.0	5.614326000213623	27.79899787902832	80.59394836425781	2.5786240100860596	16.011754989624023	1.870303988456726
38	0.5460829734802246	31.96565818786621	7.904219150543213	0.0	97.12844848632812	0.3874880075454712	12.400646209716797	1.781520962715149	188.18881225585938	12.807832717895508	59.75907516479492	8.521393775939941	408.4254150390625
39	0.0	52.35325241088867	5.624457836151123	4.4588470458984375	101.67716979980469	1.9194530248641968	0.9788529872894287	8.306357383728027	256.1646728515625	86.96990203857422	37.83228302001953	3.8061540126800537	390.17510986328125
40	4.704614162445068	65.5564956665039	29.003206253051758	0.0	630.1685791015625	4.525383949279785	0.7195330262184143	1.5143059492111206	86.74588775634766	58.34211730957031	21.953540802001953	16.625022888183594	4.6588921546936035
41	0.0	19.898401260375977	3.3002750873565674	3.959562063217163	78.32356262207031	1.784332036972046	5.1398138999938965	2.5046920776367188	690.97265625	39.11123275756836	46.86460494995117	10.49383544921875	1048.927001953125
42	5.732924938201904	51.35859680175781	10.02711009979248	0.7288990020751953	265.9048156738281	0.0	3.023621082305908	0.0	158.568115234375	57.92394256591797	22.776264190673828	0.0	238.04917907714844
43	0.0	7.524219989776611	7.123578071594238	0.0	450.1980895996094	0.2041819989681244	8.220458030700684	4.767611026763916	103.92105865478516	3.6525208950042725	36.906864166259766	10.647027015686035	237.60617065429688
