Filename: Ep_Y4_amitag_16Dec2020_04_1_concatenated_Live.fcs
Event #	143Nd_p53_(Nd143Di)	144Nd_MHCI_(Nd144Di)	147Sm_pH2AX_(Sm147Di)	149Sm_pp65_(Sm149Di)	150Nd_pRB_(Nd150Di)	153Eu_PL1_(Eu153Di)	156Gd_p38_(Gd156Di)	159Tb_p21_(Tb159Di)	163Dy_CD54_(Dy163Di)	164Dy_SCA1_(Dy164Di)	168Er_Ki67_(Er168Di)	169Tm_p16_(Tm169Di)	209Bi_MHCII_(Bi209Di)
1	0.6589310169219971	3.0529849529266357	30.713918685913086	0.0	147.3135223388672	0.0	10.795332908630371	1.4521900415420532	39.071407318115234	47.261566162109375	2.789668083190918	4.306149959564209	2.039987087249756
2	0.0	12.674934387207031	2.1600499153137207	0.0	19.20929527282715	0.0	1.479783058166504	3.8418169021606445	686.876220703125	34.505313873291016	22.877552032470703	5.2933669090271	409.1195983886719
3	2.4782609939575195	49.66275405883789	3.747826099395752	0.0	112.20592498779297	0.26381799578666687	3.090708017349243	0.6693339943885803	209.89163208007812	0.0	20.358997344970703	8.970237731933594	282.57379150390625
4	0.0	8.166584968566895	0.36766600608825684	0.0	202.89605712890625	0.0	0.0	0.0	90.1731185913086	0.0	1.2855639457702637	0.0	140.27528381347656
5	0.0	63.65632629394531	0.9804610013961792	0.0	17.51954460144043	1.229753017425537	0.0	0.0	294.36614990234375	17.100400924682617	6.563798904418945	0.0	419.9104919433594
6	0.0	7.30095100402832	4.155457973480225	0.0	276.11737060546875	0.0	0.44745099544525146	1.418995976448059	272.3789978027344	7.0104570388793945	27.6259822845459	5.3229899406433105	266.9066162109375
7	4.640171051025391	42.142852783203125	6.8541059494018555	0.0	330.8840637207031	12.4347505569458	0.0	0.8416360020637512	358.78363037109375	25.500991821289062	46.180660247802734	1.1363320350646973	443.5221252441406
8	1.4173610210418701	19.99911117553711	16.157154083251953	0.0	335.56927490234375	0.0	0.0	0.0	309.0013427734375	3.743453025817871	10.13120174407959	2.4833080768585205	406.80633544921875
9	0.0	24.865947723388672	4.3035430908203125	0.0	343.6950378417969	0.0	1.2050650119781494	1.9296859502792358	401.5621032714844	8.254657745361328	9.353078842163086	0.0	560.3967895507812
10	1.6358269453048706	13.21627140045166	19.602439880371094	0.0	90.92539978027344	0.0	1.4256449937820435	0.0	121.0582275390625	3.676934003829956	8.761083602905273	0.0	474.3612060546875
11	3.515377998352051	21.223215103149414	20.18182945251465	1.211084008216858	290.91497802734375	0.6636940240859985	4.779935836791992	1.626242995262146	216.05563354492188	35.781524658203125	8.15078067779541	2.448390007019043	1006.8021240234375
12	1.2913450002670288	6.69320821762085	1.1854569911956787	4.13105583190918	308.34130859375	1.1582380533218384	4.164610862731934	4.9974799156188965	291.10491943359375	7.5589728355407715	35.54155349731445	3.2677230834960938	108.43753814697266
13	3.825023889541626	7.301569938659668	4.046645164489746	0.0	297.8912353515625	0.0	0.0	1.0449060201644897	228.38955688476562	29.86041831970215	7.23590612411499	0.5376350283622742	490.42828369140625
14	0.0	9.302555084228516	0.0	0.0	78.40430450439453	1.3076189756393433	0.0	0.0	102.4076919555664	7.304717063903809	4.858891010284424	0.5964440107345581	1172.9139404296875
15	0.0	17.815099716186523	1.0581170320510864	0.0	78.5342788696289	0.0	0.0	4.132997035980225	78.93029022216797	0.0	0.0	0.2298640012741089	465.03192138671875
16	0.0	35.522605895996094	1.8058619499206543	1.195976972579956	104.77100372314453	0.0	0.28339600563049316	0.0	387.5357360839844	15.186315536499023	21.69576644897461	7.5972700119018555	445.0516357421875
17	4.7328200340271	80.22725677490234	21.05219841003418	2.9396700859069824	835.3795166015625	1.920186996459961	6.595605850219727	0.6495530009269714	65.15535736083984	405.34747314453125	7.012465953826904	0.0	0.0
18	1.4803730249404907	18.019752502441406	13.755226135253906	0.0	217.7625274658203	1.8545889854431152	0.0	5.347256183624268	339.45367431640625	7.88463020324707	56.868316650390625	7.552341938018799	710.7354125976562
19	0.0	36.81782531738281	6.133501052856445	0.0	178.23489379882812	0.0	3.0883960723876953	0.0	93.77481842041016	12.88007926940918	0.7065690159797668	0.0	2.8123960494995117
20	0.0	12.127362251281738	2.5049540996551514	0.0	31.5132999420166	0.0	2.435939073562622	0.0	65.32774353027344	3.573723077774048	11.035544395446777	0.0	269.47052001953125
21	0.05848899856209755	3.322442054748535	7.157506942749023	0.0	96.78645324707031	1.4031349420547485	0.0	0.0	54.622840881347656	1.4090750217437744	4.104013919830322	3.3808228969573975	483.5463562011719
22	1.6646629571914673	3.159274101257324	9.448129653930664	0.0	230.43035888671875	0.0	1.0793009996414185	0.04413599893450737	96.45579528808594	0.0	9.039447784423828	0.0	222.21580505371094
23	0.0	10.902338027954102	5.705984115600586	3.9133429527282715	75.33625030517578	0.0	0.6140480041503906	5.304614067077637	647.6654663085938	16.86846923828125	14.35293960571289	2.9907050132751465	416.1396484375
24	0.0	8.16617202758789	0.0	0.0	15.786173820495605	0.0	0.0	0.08692199736833572	296.12249755859375	2.9413321018218994	37.02497482299805	4.615342140197754	33.11525344848633
25	0.0	30.65057945251465	16.507526397705078	2.7174201011657715	255.51060485839844	0.0	0.8647879958152771	4.881625175476074	347.22991943359375	25.52937889099121	35.637046813964844	4.42982292175293	1242.09375
26	0.0	24.22297477722168	9.604914665222168	0.0	266.5918273925781	0.0	0.009634999558329582	1.312008023262024	293.1992492675781	0.13237600028514862	17.982860565185547	4.728659152984619	432.78436279296875
27	0.0	2.2693300247192383	4.087761878967285	1.1990749835968018	252.55276489257812	2.5046539306640625	0.7359910011291504	0.0	102.86669921875	0.8375340104103088	8.777037620544434	0.0	345.7684326171875
28	0.0	15.326265335083008	23.810043334960938	1.0050710439682007	311.274658203125	1.5831010341644287	2.6223599910736084	0.3741370141506195	11.51781177520752	308.65948486328125	11.921235084533691	3.8917698860168457	0.0
29	0.0	0.0	5.551971912384033	1.1799440383911133	135.10324096679688	3.3694019317626953	0.7591279745101929	0.28355100750923157	85.88630676269531	2.9530129432678223	2.3994059562683105	1.698814034461975	722.7700805664062
30	0.0	11.180643081665039	4.374267101287842	0.0	26.718103408813477	0.0	0.40056899189949036	0.8176119923591614	166.77151489257812	2.0546960830688477	6.173050880432129	1.3476450443267822	387.2086486816406
31	0.0	9.674925804138184	5.9735870361328125	0.0	87.49571990966797	0.0	1.272853970527649	0.6779789924621582	75.38699340820312	4.718994140625	13.717516899108887	0.0	697.2593994140625
32	0.0	4.552430152893066	8.649320602416992	0.0	186.2457275390625	0.0	0.0	3.54236102104187	167.3951873779297	1.7612160444259644	1.3577719926834106	4.61083984375	587.0436401367188
33	0.0	10.712475776672363	1.4212599992752075	1.6845959424972534	156.16452026367188	0.0	0.7742419838905334	0.0	194.71315002441406	4.087067127227783	9.261877059936523	1.1275360584259033	595.9096069335938
34	0.9546340107917786	22.612573623657227	1.7304630279541016	0.456400990486145	265.07293701171875	3.656752109527588	1.6073299646377563	0.21340599656105042	133.2556915283203	4.5236711502075195	15.620179176330566	7.155527114868164	272.9664001464844
35	1.279871940612793	3.2589430809020996	6.877100944519043	0.0	411.10760498046875	2.007633924484253	2.236356019973755	2.961817979812622	463.08013916015625	5.358545780181885	18.031511306762695	3.010891914367676	177.4278564453125
36	0.8218050003051758	116.33421325683594	16.185827255249023	3.312488079071045	621.8796997070312	0.08073800057172775	0.14442899823188782	4.3630452156066895	122.12830352783203	621.3956909179688	2.8654160499572754	0.0	12.171696662902832
37	0.42969200015068054	15.419678688049316	1.3157099485397339	0.0	180.12962341308594	4.317385196685791	0.0	0.6575080156326294	71.63817596435547	7.074811935424805	8.486600875854492	2.5073959827423096	179.6056671142578
38	0.0	22.811620712280273	4.1842169761657715	0.49200698733329773	160.18548583984375	0.0	0.0	0.0	165.0019073486328	4.951828956604004	35.12260818481445	1.7311309576034546	1050.5130615234375
39	0.268189013004303	17.615779876708984	16.390737533569336	0.5375630259513855	82.72528839111328	0.0	0.7472620010375977	0.0	444.34295654296875	108.65235137939453	15.418758392333984	4.323233127593994	1020.077880859375
40	0.5028420090675354	1.1467469930648804	12.413363456726074	1.8895820379257202	209.52581787109375	0.0	0.0	0.0	210.64761352539062	17.314258575439453	42.84902572631836	1.6195189952850342	100.81645202636719
41	1.8664360046386719	60.89186477661133	0.0	0.0	169.09141540527344	0.4827130138874054	0.0	0.0	140.72438049316406	147.96063232421875	0.004931999836117029	1.4653799533843994	191.2665252685547
42	0.12117499858140945	6.159228801727295	7.057868003845215	0.0	146.82289123535156	2.263185977935791	0.6626560091972351	6.038733005523682	287.8431091308594	1.1031709909439087	46.973472595214844	10.11592960357666	513.171630859375
43	0.0	29.87258529663086	30.013181686401367	4.951852798461914	577.59814453125	3.17809796333313	1.945268988609314	3.768554925918579	1397.9151611328125	76.46873474121094	59.466041564941406	1.667565941810608	955.7445068359375
44	0.0	6.559174060821533	6.168068885803223	0.0	263.6644287109375	0.06885699927806854	0.39417898654937744	0.6287819743156433	127.93472290039062	0.18660299479961395	8.046799659729004	0.6344280242919922	276.34661865234375
45	1.8544889688491821	23.238229751586914	4.691748142242432	2.771256923675537	25.632915496826172	3.671086072921753	1.1890490055084229	7.572923183441162	626.1773071289062	28.913923263549805	36.841270446777344	7.406482219696045	560.0230712890625
46	0.0	19.163482666015625	53.57242965698242	2.6674869060516357	217.44923400878906	0.9345729947090149	0.0	2.4340310096740723	69.39463806152344	0.0	12.64189624786377	0.0	677.6832885742188
47	1.3873130083084106	11.837714195251465	47.744503021240234	0.0	249.67074584960938	0.0	1.985908031463623	0.4135249853134155	1.4241119623184204	21.73444175720215	12.107856750488281	5.620833873748779	0.0
48	2.5878849029541016	4.468738079071045	0.8869360089302063	0.0	123.46157836914062	0.0	0.0	0.4240249991416931	152.13522338867188	6.350131988525391	14.038199424743652	0.36197999119758606	183.35267639160156
49	0.0	25.91691017150879	6.183241844177246	2.4773640632629395	158.77052307128906	0.0	5.47193717956543	0.0	104.90774536132812	0.0	28.590255737304688	0.0	796.4950561523438
50	1.9123769998550415	2.8388619422912598	1.077025055885315	0.0	67.05314636230469	0.0	0.40276798605918884	0.0	304.8410339355469	1.6992789506912231	28.547006607055664	6.867472171783447	570.4263305664062
51	0.0	7.563593864440918	8.390456199645996	0.0	209.6666717529297	0.8169450163841248	2.3001840114593506	3.947045087814331	190.84982299804688	2.5416419506073	36.89885711669922	1.1909539699554443	50.302825927734375
52	0.0	17.712913513183594	4.846919059753418	0.0	90.993896484375	0.0	1.1343079805374146	0.0	298.2763977050781	8.094938278198242	55.645912170410156	16.722152709960938	316.52783203125
53	0.0	4.328003883361816	0.09057900309562683	3.2578399181365967	64.55332946777344	0.6123369932174683	2.3654749393463135	4.79006290435791	412.6885986328125	13.124896049499512	42.50059509277344	3.9664900302886963	637.4405517578125
54	0.0	21.135541915893555	13.995445251464844	6.539275169372559	260.4505615234375	0.0	5.357349872589111	0.36414098739624023	235.54978942871094	14.050677299499512	13.589938163757324	6.202229976654053	968.068359375
55	0.0	69.63764953613281	6.006130218505859	4.730204105377197	91.79370880126953	0.0	2.1966490745544434	7.066770076751709	722.617919921875	15.738007545471191	66.0129165649414	14.364640235900879	2255.5771484375
56	0.0	24.459915161132812	5.801898956298828	0.0	303.6798400878906	0.0	0.4994719922542572	0.0	265.12445068359375	14.948735237121582	14.560312271118164	12.905902862548828	159.2786865234375
57	8.60458755493164	10.756780624389648	0.611702024936676	0.0	37.61656188964844	0.0	3.8098061084747314	2.463383913040161	109.08721160888672	6.87472677230835	7.8044819831848145	4.7784528732299805	434.8023681640625
58	3.8235719203948975	5.4846720695495605	2.191488027572632	1.6167540550231934	48.028419494628906	1.6249120235443115	2.4015300273895264	2.719805955886841	217.10829162597656	1.2111539840698242	42.753780364990234	13.021449089050293	170.37625122070312
59	0.0	5.165420055389404	29.909807205200195	0.0	112.27849578857422	1.0042829513549805	1.1401809453964233	0.0	17.68366813659668	74.4517593383789	6.4004130363464355	0.0	0.0
60	0.0	48.31338882446289	7.056091785430908	0.6766120195388794	64.4056396484375	0.0	4.28223180770874	8.94710922241211	452.9196472167969	9.884893417358398	19.444229125976562	2.211275100708008	281.3473815917969
61	0.0	20.92296028137207	30.904817581176758	0.9454010128974915	229.69061279296875	0.0	5.052676200866699	0.0	89.00382232666016	24.72408676147461	8.775525093078613	0.0	1643.728271484375
62	0.4683470129966736	24.70828628540039	4.573278903961182	0.11229299753904343	162.52610778808594	0.9639269709587097	0.44449201226234436	0.0	156.37147521972656	8.886873245239258	7.145883083343506	2.799138069152832	809.6250610351562
63	0.8001419901847839	0.518809974193573	0.0	0.0	117.98163604736328	0.0	0.0	0.0	13.291604042053223	0.0	11.61308479309082	2.01603102684021	175.86309814453125
64	0.0	7.608015060424805	3.800029993057251	0.0	119.34382629394531	0.0	0.0	0.0	121.3199234008789	12.552033424377441	6.419217109680176	6.463794231414795	389.8341369628906
65	0.0	2.51557993888855	8.219834327697754	0.6021460294723511	162.4818878173828	3.713067054748535	0.0	0.0	132.58779907226562	11.49239444732666	34.07080078125	5.151891231536865	10.42263412475586
66	1.5368870496749878	13.347309112548828	29.665376663208008	0.0	387.1395568847656	0.09100499749183655	0.3947100043296814	4.887087821960449	439.0962219238281	9.637151718139648	31.92023277282715	8.517807006835938	127.10147857666016
67	0.0	18.188228607177734	0.0	0.0	46.51068115234375	1.5764039754867554	1.811087965965271	0.0	118.69239044189453	5.839097023010254	4.075092792510986	4.19010591506958	1489.8721923828125
68	0.0	14.629690170288086	2.061145067214966	0.0	319.32476806640625	0.0	1.5031859874725342	2.292865037918091	151.0820770263672	6.650428771972656	18.453598022460938	3.4503650665283203	1567.852783203125
69	1.537546992301941	0.0	1.3429549932479858	0.0	27.9422607421875	0.0	0.0	0.0	58.93204116821289	0.0	0.8590250015258789	0.0	260.48846435546875
70	0.0	14.229177474975586	1.7596420049667358	0.0	230.9311065673828	0.42715299129486084	1.5395879745483398	0.0	168.8199005126953	2.476375102996826	23.087238311767578	10.021697998046875	91.29010772705078
71	0.0	13.991863250732422	4.373929023742676	0.0	140.3498077392578	0.0	0.0	4.148839950561523	123.85909271240234	3.7665159702301025	17.365320205688477	2.5304110050201416	204.4902801513672
72	0.0	28.57557487487793	13.975702285766602	0.0	341.03875732421875	0.0	0.0	3.179595947265625	269.7068176269531	64.25276184082031	32.39485168457031	7.272491931915283	700.4336547851562
